Date,Average
4/19/2018,3.06
4/18/2018,2.945
4/17/2018,2.72
4/16/2018,2.725
4/15/2018,2.685
4/14/2018,2.645
4/13/2018,2.715
4/12/2018,2.365
4/11/2018,1.905
4/10/2018,1.84
4/9/2018,1.87
4/8/2018,1.885
4/7/2018,1.815
4/6/2018,1.82
4/5/2018,1.83
4/4/2018,1.97
4/3/2018,1.88
4/2/2018,1.565
4/1/2018,1.48
3/31/2018,1.535
3/30/2018,1.595
3/29/2018,1.77
3/28/2018,1.81
3/27/2018,1.785
3/26/2018,1.935
3/25/2018,2
3/24/2018,2.015
3/23/2018,2.045
3/22/2018,2.17
3/21/2018,2.205
3/20/2018,2.135
3/19/2018,1.945
3/18/2018,1.82
3/17/2018,1.94
3/16/2018,2.085
3/15/2018,2.195
3/14/2018,2.37
3/13/2018,2.48
3/12/2018,2.5
3/11/2018,2.47
3/10/2018,2.49
3/9/2018,2.61
3/8/2018,2.72
3/7/2018,3
3/6/2018,3.35
3/5/2018,3.525
3/4/2018,3.61
3/3/2018,3.5
3/2/2018,3.395
3/1/2018,3.355
2/28/2018,3.385
2/27/2018,3.56
2/26/2018,3.545
2/25/2018,3.495
2/24/2018,3.61
2/23/2018,3.595
2/22/2018,3.65
2/21/2018,4.015
2/20/2018,4.37
2/19/2018,4.39
2/18/2018,4.475
2/17/2018,4.61
2/16/2018,4.575
2/15/2018,4.575
2/14/2018,4.335
2/13/2018,4.35
2/12/2018,4.135
2/11/2018,4.25
2/10/2018,4.395
2/9/2018,4.14
2/8/2018,3.8
2/7/2018,3.77
2/6/2018,3.605
2/5/2018,3.595
2/4/2018,4.13
2/3/2018,4.525
2/2/2018,4.68
2/1/2018,5.04
1/31/2018,4.9
1/30/2018,5.33
1/29/2018,6.15
1/28/2018,6.28
1/27/2018,6.16
1/26/2018,6.42
1/25/2018,6.295
1/24/2018,5.2
1/23/2018,4.32
1/22/2018,4.685
1/21/2018,5.33
1/20/2018,5.16
1/19/2018,4.515
1/18/2018,4.175
1/17/2018,3.955
1/16/2018,4.69
1/15/2018,5.88
1/14/2018,6.095
1/13/2018,5.855
1/12/2018,5.005
1/11/2018,4.845
1/10/2018,5.645
1/9/2018,5.97
1/8/2018,6.195
1/7/2018,6.705
1/6/2018,6.165
1/5/2018,6.18
1/4/2018,7.34
1/3/2018,7.27
1/2/2018,5.335
1/1/2018,3.515
12/31/2017,2.85
12/30/2017,2.955
12/29/2017,3.035
12/28/2017,3.06
12/27/2017,3.34
12/26/2017,3.455
12/25/2017,3.38
12/24/2017,3.35
12/23/2017,3.07
12/22/2017,3.29
12/21/2017,3.545
12/20/2017,3.15
12/19/2017,2.895
12/18/2017,2.615
12/17/2017,2.21
12/16/2017,2.045
12/15/2017,2
12/14/2017,1.9
12/13/2017,1.82
12/12/2017,1.785
12/11/2017,1.7
12/10/2017,1.67
12/9/2017,1.785
12/8/2017,2.04
12/7/2017,1.67
12/6/2017,1.365
12/5/2017,1.445
12/4/2017,1.325
12/3/2017,1.21
12/2/2017,1.145
12/1/2017,1.04
11/30/2017,0.979183
11/29/2017,1.0479505
11/28/2017,1.165
11/27/2017,1.14
11/26/2017,1.07
11/25/2017,0.997265
11/24/2017,0.9501425
11/23/2017,0.9785205
11/22/2017,0.9487965
11/21/2017,0.899242
11/20/2017,0.908719
11/19/2017,0.9139835
11/18/2017,0.9080075
11/17/2017,0.9099375
11/16/2017,0.9409935
11/15/2017,0.9460285
11/14/2017,0.931381
11/13/2017,0.880068
11/12/2017,0.880205
11/11/2017,0.902223
11/10/2017,0.9272455
11/9/2017,0.964828
11/8/2017,0.908211
11/7/2017,0.860351
11/6/2017,0.870753
11/5/2017,0.8904065
11/4/2017,0.924497
11/3/2017,0.9031325
11/2/2017,0.882979
11/1/2017,0.912596
10/31/2017,0.952399
10/30/2017,0.968699
10/29/2017,0.959005
10/28/2017,0.9667475
10/27/2017,0.982382
10/26/2017,0.9807765
10/25/2017,0.9966305
10/24/2017,0.9622365
10/23/2017,0.950595
10/22/2017,0.973288
10/21/2017,0.987035
10/20/2017,1.055
10/19/2017,1.08
10/18/2017,1.065
10/17/2017,1.055
10/16/2017,1.06
10/15/2017,1.075
10/14/2017,1.045
10/13/2017,1.035
10/12/2017,1.07
10/11/2017,1.065
10/10/2017,1.05
10/9/2017,1.09
10/8/2017,1.17
10/7/2017,1.215
10/6/2017,1.19
10/5/2017,1.175
10/4/2017,1.2
10/3/2017,1.275
10/2/2017,1.35
10/1/2017,1.435
9/30/2017,1.555
9/29/2017,1.54
9/28/2017,1.325
9/27/2017,1.15
9/26/2017,1.1
9/25/2017,1.09
9/24/2017,1.075
9/23/2017,1.045
9/22/2017,1.0033015
9/21/2017,1.065
9/20/2017,1.11
9/19/2017,1.155
9/18/2017,1.155
9/17/2017,1.105
9/16/2017,1.145
9/15/2017,1.0654085
9/14/2017,1.1222715
9/13/2017,1.225
9/12/2017,1.225
9/11/2017,1.275
9/10/2017,1.36
9/9/2017,1.385
9/8/2017,1.465
9/7/2017,1.555
9/6/2017,1.445
9/5/2017,1.265
9/4/2017,1.28
9/3/2017,1.375
9/2/2017,1.465
9/1/2017,1.575
8/31/2017,1.5
8/30/2017,1.435
8/29/2017,1.445
8/28/2017,1.445
8/27/2017,1.475
8/26/2017,1.455
8/25/2017,1.325
8/24/2017,1.255
8/23/2017,1.225
8/22/2017,1.19
8/21/2017,1.305
8/20/2017,1.25
8/19/2017,1.06
8/18/2017,1.095
8/17/2017,1.16
8/16/2017,1.155
8/15/2017,1.175
8/14/2017,1.22
8/13/2017,1.3
8/12/2017,1.255
8/11/2017,1.175
8/10/2017,1.265
