"from","to","total_amount","day","month","year"
germanaure,bittrex,131.9190,4,7,2016
nphacker,bittrex,0.2100,4,7,2016
peachesdoe97,bittrex,335.1910,4,7,2016
forrestwillie,openledger,100.0000,4,7,2016
openledger,forrestwillie,100.0000,4,7,2016
thj,bittrex,100.7470,5,7,2016
soulsistashakti,blocktrades,2.0000,5,7,2016
blocktrades,open-wallet,10.0000,6,7,2016
jamie,blocktrades,1.0000,6,7,2016
cryptogee,blocktrades,1001.8730,6,7,2016
craig-grant,blocktrades,22.0680,6,7,2016
kingnuze,bittrex,5.6050,6,7,2016
alicecm,blocktrades,1.5550,7,7,2016
pharesim,bittrex,1111.0000,7,7,2016
piedpiper,bittrex,1.0000,7,7,2016
stellabelle,blocktrades,4784.0000,7,7,2016
arcaneinfo,blocktrades,1.3780,7,7,2016
bittrex,richiela,1.0000,7,7,2016
donaa,blocktrades,67.0000,7,7,2016
rahmat,blocktrades,54.0000,7,7,2016
richiela,bittrex,1.0000,7,7,2016
satryaepul,blocktrades,3.5900,7,7,2016
scrawl,bittrex,150.0000,7,7,2016
cryptoctopus,blocktrades,1000.0000,7,7,2016
mctiller,blocktrades,150.0000,7,7,2016
arisromansyah,blocktrades,16.1280,7,7,2016
azaan,blocktrades,17.4880,7,7,2016
bittrex,grittenald,1.0000,7,7,2016
evan-koser,blocktrades,300.0000,7,7,2016
fyrstikken,bittrex,93.4040,7,7,2016
grittenald,bittrex,1.0100,7,7,2016
rendra-permana,blocktrades,17.4000,7,7,2016
rok-sivante,blocktrades,516.3670,7,7,2016
gie,blocktrades,17.2060,8,7,2016
goy,blocktrades,18.0000,8,7,2016
rodolfodth,blocktrades,5.8930,8,7,2016
andri-ghani,blocktrades,12.7850,8,7,2016
nina-nindra,blocktrades,2.8800,8,7,2016
the-alien,blocktrades,200.0000,8,7,2016
ucing,blocktrades,8.0410,8,7,2016
azaan,blocktrades,0.3860,8,7,2016
hossary,blocktrades,72.0000,8,7,2016
jonnyrevolution,blocktrades,14.8640,8,7,2016
jupiter00000,blocktrades,175.0000,8,7,2016
lauralemons,blocktrades,67.0000,8,7,2016
paloma-guerrero,blocktrades,164.2270,8,7,2016
soulsistashakti,blocktrades,50.0000,8,7,2016
stino-san,blocktrades,1.0000,9,7,2016
testz,bittrex,600.0000,9,7,2016
abduhalem,blocktrades,7.7000,9,7,2016
bittrex,bacchist,0.2700,9,7,2016
dedriss,bittrex,6.7480,9,7,2016
nineyards,blocktrades,60.0000,9,7,2016
noganoo,bittrex,19.6870,9,7,2016
oaldamster,blocktrades,173.3080,9,7,2016
pnc,blocktrades,187.8120,9,7,2016
spaninv,bittrex,1.2540,9,7,2016
vitha,blocktrades,30.9700,9,7,2016
bittrex,onighost,293.8700,9,7,2016
cryptogee,blocktrades,500.0000,9,7,2016
grumpymutt,blocktrades,1.0000,9,7,2016
joseph,bittrex,1417.3600,9,7,2016
lysaa,blocktrades,0.0260,9,7,2016
onighost,bittrex,289.2220,9,7,2016
pfunk,bittrex,200.0000,9,7,2016
soulsistashakti,blocktrades,120.0000,9,7,2016
stino-san,bittrex,1.0000,9,7,2016
anwenbaumeister,blocktrades,10.0000,9,7,2016
business,blocktrades,517.9990,9,7,2016
hendrarudy,blocktrades,12.0000,9,7,2016
kaylinart,blocktrades,650.0000,9,7,2016
lauralemons,blocktrades,47.0000,9,7,2016
ottulo,blocktrades,100.0000,9,7,2016
smooth,bittrex,400.0000,9,7,2016
the-alien,blocktrades,300.0000,9,7,2016
bella-chutezz,bittrex,5.6610,10,7,2016
bittrex,spaninv,0.9900,10,7,2016
bittrex,thj,100.7300,10,7,2016
clement,bittrex,232.9500,10,7,2016
rossco99,bittrex,10.0000,10,7,2016
spaninv,bittrex,18.6000,10,7,2016
alexgr,bittrex,10.8380,10,7,2016
bittrex,johnerfx,5.2400,10,7,2016
bittrex,seaside-owt,135.5800,10,7,2016
chaindynamics,bittrex,578.2660,10,7,2016
garycovington,blocktrades,6.0000,10,7,2016
hendrarudy,blocktrades,9.0000,10,7,2016
infovore,bittrex,10.0000,10,7,2016
kaylinart,blocktrades,100.0000,10,7,2016
proctologic,bittrex,30.4550,10,7,2016
technology,bittrex,30.6590,10,7,2016
bittrex,scrawl,318.0300,10,7,2016
blackjincrypto,bittrex,269.2910,10,7,2016
grumpymutt,blocktrades,2.0370,10,7,2016
justtryme90,bittrex,13.9970,10,7,2016
thirdstryker1,bittrex,5.0000,10,7,2016
tytyd,bittrex,13.0000,10,7,2016
ucing,blocktrades,3.8000,10,7,2016
ultralord,bittrex,204.0980,10,7,2016
arcaneinfo,blocktrades,5.6560,10,7,2016
bitcoinmeister,blocktrades,78.1280,10,7,2016
bittrex,onighost,0.9900,10,7,2016
bittrex,pfunk,99.9900,10,7,2016
bittrex,pharesim,1105.2900,10,7,2016
lauralemons,blocktrades,174.0000,10,7,2016
lehard,bittrex,69.4350,10,7,2016
penambang,bittrex,6.9750,10,7,2016
pfunk,bittrex,50.0000,10,7,2016
stealthtrader,blocktrades,5.0000,10,7,2016
the-alien,blocktrades,10.0000,10,7,2016
bittrex,shutkin70,0.6900,11,7,2016
bittrex,zer0sum,69.0000,11,7,2016
chitty,bittrex,341.0000,11,7,2016
churdtzu,bittrex,200.0000,11,7,2016
shutkin70,bittrex,0.7090,11,7,2016
zer0sum,bittrex,10.0000,11,7,2016
bittrex,mauricemikkers,1549.7100,11,7,2016
bonapartist,bittrex,502.0000,11,7,2016
hisnameisolllie,bittrex,282.4430,11,7,2016
khinanty,bittrex,61.7710,11,7,2016
mauricemikkers,bittrex,1549.7370,11,7,2016
mjoriginal,blocktrades,4.7490,11,7,2016
bittrex,java1959,13.5900,11,7,2016
blocktalk,bittrex,500.0000,11,7,2016
blocktrades,bittrex,3000.0000,11,7,2016
cryptogirly92,blocktrades,178.0000,11,7,2016
dan-atstarlite,blocktrades,72.0000,11,7,2016
danbitc,bittrex,0.6460,11,7,2016
falzxx,bittrex,5.0000,11,7,2016
kingnuze,bittrex,2.1480,11,7,2016
riscadox,bittrex,19.2900,11,7,2016
simba,bittrex,29.5420,11,7,2016
slomaster,blocktrades,2.1780,11,7,2016
spaninv,bittrex,0.9900,11,7,2016
the-alien,blocktrades,250.0000,11,7,2016
alexc,bittrex,35.7900,11,7,2016
bittrex,alexc,35.7900,11,7,2016
skriptroid,bittrex,14.7900,11,7,2016
tie-warutho,bittrex,0.2340,11,7,2016
arcaneinfo,blocktrades,9.0960,12,7,2016
bittrex,java1959,324.3800,12,7,2016
bittrex,lukestokes,139.4600,12,7,2016
bittrex,smooth,1300.0000,12,7,2016
creativeeditors,bittrex,8.4740,12,7,2016
cryptogee,bittrex,650.0000,12,7,2016
gie,bittrex,23.1580,12,7,2016
ibnu,bittrex,19.0000,12,7,2016
killerstorm,bittrex,100.0000,12,7,2016
kushed,bittrex,25.2800,12,7,2016
masteryoda,bittrex,522.3360,12,7,2016
mrwang,blocktrades,548.2430,12,7,2016
ozmaster,bittrex,72.4050,12,7,2016
raffern,bittrex,9.6270,12,7,2016
roelandp,bittrex,7.3150,12,7,2016
shutkin70,bittrex,382.0000,12,7,2016
soulsistashakti,blocktrades,90.0000,12,7,2016
the-alien,bittrex,18.0000,12,7,2016
zeus,bittrex,12.3300,12,7,2016
zeus-c,bittrex,1.0530,12,7,2016
abdi,blocktrades,48.0000,12,7,2016
arisromansyah,bittrex,21.4640,12,7,2016
azaan,blocktrades,0.0190,12,7,2016
bacchist,bittrex,67.2550,12,7,2016
bittrex,hisnameisolllie,281.4200,12,7,2016
bittrex,scrawl,3467.4100,12,7,2016
bleepcoin,bittrex,670.0000,12,7,2016
cryptoscope,bittrex,40.8840,12,7,2016
splashneedle,blocktrades,5.0000,12,7,2016
adianthony11,bittrex,11.0000,12,7,2016
arwani-wawan,bittrex,33.7470,12,7,2016
bittrex,zer0sum,175.0000,12,7,2016
chitty,bittrex,76.0000,12,7,2016
derekareith,bittrex,0.0010,12,7,2016
dewiaries,bittrex,11.2000,12,7,2016
dollarcome,bittrex,4.0090,12,7,2016
hestyliyanty,bittrex,32.5050,12,7,2016
juansgalt,blocktrades,31.1280,12,7,2016
lehard,bittrex,17.9100,12,7,2016
nobreku,bittrex,16.0410,12,7,2016
r4fken,blocktrades,250.0150,12,7,2016
riscadox,bittrex,30.5740,12,7,2016
stealthtrader,blocktrades,18.0000,12,7,2016
taufikriadi,bittrex,2.4460,12,7,2016
bfm-002aec43a3,bittrex,369.0000,12,7,2016
bittrex,mixa,0.3800,12,7,2016
bittrex,shawn-brewer,874.9800,12,7,2016
hakise,blocktrades,213.0000,12,7,2016
steemingnow,bittrex,21.0000,12,7,2016
wisehammer,bittrex,0.1830,12,7,2016
zeus-b,bittrex,4.6240,12,7,2016
arcaneinfo,blocktrades,78.0230,13,7,2016
bittrex,enki,499.9900,13,7,2016
bittrex,lukestokes,4.0600,13,7,2016
bittrex,murat,1472.1600,13,7,2016
blocktrades,lauralemons,6.0000,13,7,2016
blocktrades,satanic.stoner,46.0000,13,7,2016
freedom,bittrex,1087.8420,13,7,2016
lauralemons,blocktrades,123.0000,13,7,2016
lontong,bittrex,2.5000,13,7,2016
masteryoda,bittrex,126.3440,13,7,2016
max-infeld,openledger,50.0000,13,7,2016
noganoo,bittrex,226.6500,13,7,2016
patrice,bittrex,66.0090,13,7,2016
phanie90,bittrex,10.1150,13,7,2016
rawlzsec,bittrex,32.1560,13,7,2016
satanic.stoner,blocktrades,46.0000,13,7,2016
silvano22,blocktrades,3.0090,13,7,2016
stealthtrader,blocktrades,8.0000,13,7,2016
trung81,blocktrades,1.0000,13,7,2016
tuck-fheman,blocktrades,200.0000,13,7,2016
bittrex,eythor,250.0900,13,7,2016
bittrex,forrestwillie,105.8200,13,7,2016
bittrex,scrawl,939.5700,13,7,2016
blocktalk,bittrex,462.8790,13,7,2016
blocktrades,johan-nygren,4.7760,13,7,2016
forrestwillie,bittrex,108.0550,13,7,2016
ibnu,bittrex,53.0000,13,7,2016
johan-nygren,blocktrades,19.5520,13,7,2016
scrawl,bittrex,469.7900,13,7,2016
simba,bittrex,111.3190,13,7,2016
bittrex,skriptroid,62.0900,13,7,2016
bittrex,ultralord,19.9900,13,7,2016
chitty,bittrex,949.6500,13,7,2016
kateadventure,bittrex,45.8900,13,7,2016
les-peters,blocktrades,90.0000,13,7,2016
nvtnvt,blocktrades,1003.3880,13,7,2016
shawn-brewer,bittrex,499.6910,13,7,2016
shutkin70,bittrex,270.0000,13,7,2016
zerohero,bittrex,90.0000,13,7,2016
arwani-wawan,bittrex,19.8400,13,7,2016
b0y2k,bittrex,819.0060,13,7,2016
bittrex,zer0sum,499.5000,13,7,2016
bonapartist,bittrex,500.0000,13,7,2016
clement,bittrex,324.8800,13,7,2016
cryptoctopus,bittrex,1.0000,13,7,2016
joelkatz,bittrex,134.8310,13,7,2016
mughat,bittrex,5.0000,13,7,2016
paloma-guerrero,blocktrades,1.0400,13,7,2016
will-zewe,bittrex,2.0000,13,7,2016
bittrex,enki,1033.8200,14,7,2016
bittrex,gavvet,53.7000,14,7,2016
chitty,bittrex,1002.0140,14,7,2016
yefet,bittrex,154.8180,14,7,2016
cryptoctopus,bittrex,5493.0770,14,7,2016
cryptoctopus,blocktrades,2150.0000,14,7,2016
derekareith,bittrex,28.7900,14,7,2016
fyrstikken,bittrex,275.6640,14,7,2016
pamplemouse,blocktrades,2924.0000,14,7,2016
simba,bittrex,26.0730,14,7,2016
steemingnow,bittrex,700.0000,14,7,2016
fiatluxx,bittrex,2.0000,14,7,2016
senseiteekay,bittrex,105.0000,14,7,2016
bittrex,tuck-fheman,82.8700,14,7,2016
bittrex,zer0sum,236.0000,14,7,2016
steemtest,bittrex,82.7560,14,7,2016
valnir,blocktrades,1058.0000,14,7,2016
yassinebentour,blocktrades,1.6090,14,7,2016
au1nethyb1,bittrex,4057.2500,15,7,2016
eythor,bittrex,100.0000,15,7,2016
forrestwillie,blocktrades,90.0000,15,7,2016
onthewayout,blocktrades,97.6870,15,7,2016
sakr,bittrex,844.4890,15,7,2016
syafniati,bittrex,5.7130,15,7,2016
teego,openledger,11.4830,15,7,2016
tyfoster,blocktrades,13.7360,15,7,2016
yefet,bittrex,100.0000,15,7,2016
bittrex,cryptoctopus,5494.0500,15,7,2016
bittrex,hopeless,344.9800,15,7,2016
blockcore,bittrex,0.1000,15,7,2016
derekareith,bittrex,3.8790,15,7,2016
fyrstikken,bittrex,573.8020,15,7,2016
stealthtrader,blocktrades,37.0000,15,7,2016
annakin,bittrex,262.2170,15,7,2016
arcaneinfo,bittrex,6.0000,15,7,2016
bittrex,fiatluxx,0.0900,15,7,2016
bittrex,gregory-f,39.9800,15,7,2016
bittrex,murat,149.9900,15,7,2016
fiatluxx,bittrex,228.0000,15,7,2016
itzel-becerra,bittrex,20.0000,15,7,2016
joseph,bittrex,135.2440,15,7,2016
jupiter00000,blocktrades,19.8430,15,7,2016
lauralemons,blocktrades,60.0000,15,7,2016
satanic.stoner,blocktrades,57.9890,15,7,2016
bitcoinmeister,blocktrades,129.0670,15,7,2016
dbaron723,bittrex,969.7900,15,7,2016
juanitalee,bittrex,320.4810,15,7,2016
macrochip,bittrex,219.7330,15,7,2016
msevoe,blocktrades,27.5900,15,7,2016
stino-san,blocktrades,14.4770,15,7,2016
tuck-fheman,bittrex,3400.0000,15,7,2016
arcaneinfo,bittrex,15.0000,16,7,2016
cryptoctopus,blocktrades,1500.0000,16,7,2016
lauralemons,blocktrades,40.0000,16,7,2016
luisucv34,bittrex,0.0090,16,7,2016
angsteem,bittrex,22.0500,16,7,2016
ash,bittrex,60.0000,16,7,2016
bittrex,nirvana,3298.8800,16,7,2016
bittrex,scrawl,299.9900,16,7,2016
cool,blocktrades,3.3080,16,7,2016
craig-grant,bittrex,141.1650,16,7,2016
fkn,bittrex,18.8690,16,7,2016
grandpere,blocktrades,1502.0000,16,7,2016
nastrom,bittrex,0.1420,16,7,2016
roelandp,poloniex,1.1110,16,7,2016
scrawl,bittrex,2176.0000,16,7,2016
alefernandez,bittrex,14.3150,16,7,2016
bittrex,murat,4565.5000,16,7,2016
jholdsworthy,bittrex,75.3080,16,7,2016
mctiller,blocktrades,300.0000,16,7,2016
anwenbaumeister,blocktrades,1010.0000,16,7,2016
artem-sokoloff,bittrex,3.8000,16,7,2016
fyrstikken,bittrex,116.5180,16,7,2016
jlwkolb,blocktrades,500.0000,16,7,2016
masteryoda,bittrex,260.8850,16,7,2016
richp1977,bittrex,0.2920,16,7,2016
robi-rusmana,bittrex,42.2640,16,7,2016
talanhorne,blocktrades,28.6960,16,7,2016
bittrex,krystox,20.9800,17,7,2016
blocktrades,bittrex,12831.1230,17,7,2016
arcaneinfo,bittrex,45.3540,18,7,2016
bacchist,bittrex,499.4170,18,7,2016
bittrex,bacchist,1860.1000,18,7,2016
bittrex,enki,1599.9800,18,7,2016
bittrex,pieter,185.2200,18,7,2016
danny-g,bittrex,102.6000,18,7,2016
fiatluxx,bittrex,48.0000,18,7,2016
itzel-becerra,bittrex,40.7000,18,7,2016
jcweiss,bittrex,0.3210,18,7,2016
knoopx,openledger,0.0010,18,7,2016
mctiller,bittrex,2.0000,18,7,2016
mrwang,bittrex,60.3010,18,7,2016
orm,bittrex,2011.0000,18,7,2016
patrice,bittrex,3.6270,18,7,2016
pieter,bittrex,185.2450,18,7,2016
positive,bittrex,737.2310,18,7,2016
psylains,bittrex,950.0000,18,7,2016
teego,bittrex,1.4990,18,7,2016
tempe,bittrex,3.6470,18,7,2016
wang,bittrex,676.0000,18,7,2016
willidungl,poloniex,0.0800,18,7,2016
acidyo,bittrex,338.0000,18,7,2016
ash,bittrex,600.0000,18,7,2016
bitlord,bittrex,15.4400,18,7,2016
bittrex,katiasan1978,35.4800,18,7,2016
bittrex,scrawl,731.9700,18,7,2016
bittrex,tuck-fheman,142.9300,18,7,2016
bittrex,wisehammer,0.1700,18,7,2016
buddha,bittrex,0.3780,18,7,2016
e-steem,bittrex,30.9610,18,7,2016
forrestwillie,bittrex,18.9430,18,7,2016
igorduarte,bittrex,1.1570,18,7,2016
joachim,bittrex,299.2230,18,7,2016
lenar79,bittrex,16.0000,18,7,2016
mookosoo,bittrex,7.0310,18,7,2016
nobodyishome,bittrex,22.4600,18,7,2016
on0tole,bittrex,126.0000,18,7,2016
robelneo,bittrex,53.2490,18,7,2016
robi-rusmana,bittrex,6.3600,18,7,2016
rolik,bittrex,0.4670,18,7,2016
sauravrungta,bittrex,1.0000,18,7,2016
scrawl,bittrex,1070.9140,18,7,2016
simba,bittrex,91.5810,18,7,2016
smooth-a,bittrex,3000.0000,18,7,2016
tedvernon,bittrex,108.4530,18,7,2016
timur-yusupov,bittrex,0.2520,18,7,2016
tuck-fheman,bittrex,500.0000,18,7,2016
webokv,bittrex,0.4460,18,7,2016
xyrzbest,bittrex,29.7470,18,7,2016
ajwalkerart,bittrex,10.0000,18,7,2016
biophil,bittrex,1000.0000,18,7,2016
bittrex,gavvet,3982.3500,18,7,2016
chitty,bittrex,3800.6410,18,7,2016
corina,bittrex,100.0000,18,7,2016
craig-grant,bittrex,33.6260,18,7,2016
dedriss,bittrex,242.3950,18,7,2016
diana.catherine,bittrex,131.0000,18,7,2016
eythor,bittrex,155.0000,18,7,2016
jholdsworthy,bittrex,104.4660,18,7,2016
missjessica,bittrex,50.2610,18,7,2016
rani,bittrex,14.7230,18,7,2016
rdwn,bittrex,1.7310,18,7,2016
romangelsi,bittrex,2.0640,18,7,2016
spectral,bittrex,386.0000,18,7,2016
steemgrindr,bittrex,100.0000,18,7,2016
steemitpolitics,bittrex,120.5950,18,7,2016
ztl,bittrex,152.6210,18,7,2016
arwaniwawan,bittrex,10.1000,18,7,2016
bittrex,crypt0,0.3900,18,7,2016
bittrex,drinkzya,200.4400,18,7,2016
bittrex,krystox,9.9900,18,7,2016
bittrex,maxikingstealer,0.0900,18,7,2016
bittrex,morning,10.7100,18,7,2016
bittrex,porsche,3647.4100,18,7,2016
clains,bittrex,5860.0000,18,7,2016
crypt0,bittrex,904.9350,18,7,2016
cryptomania,bittrex,1.6230,18,7,2016
dana-edwards,bittrex,46.8520,18,7,2016
derekareith,bittrex,15.8800,18,7,2016
felici,bittrex,4.7570,18,7,2016
fitri-kidul,bittrex,7.0920,18,7,2016
fyrstikken,bittrex,4123.4440,18,7,2016
heiditravels,bittrex,4302.3380,18,7,2016
hofman386,bittrex,7.0000,18,7,2016
marcgodard,bittrex,1.2230,18,7,2016
maxikingstealer,bittrex,0.2000,18,7,2016
nastrom,bittrex,15.4150,18,7,2016
robsteady,bittrex,16.2840,18,7,2016
rudy123,bittrex,36.1500,18,7,2016
steemingnow,bittrex,700.0000,18,7,2016
taoteh1221,bittrex,9.3910,18,7,2016
toroiskandar,bittrex,12.3570,18,7,2016
aleco,bittrex,4.6880,19,7,2016
alefernandez,bittrex,0.1050,19,7,2016
alex-dinu,bittrex,0.0190,19,7,2016
alexgr,bittrex,102.8060,19,7,2016
arslan7544,bittrex,3.2780,19,7,2016
autumnal.equinox,bittrex,351.3430,19,7,2016
bacchist,bittrex,24.6200,19,7,2016
basicstepnetwork,bittrex,20.9140,19,7,2016
benita,poloniex,670.8100,19,7,2016
bittrex,arslan7544,1892.5500,19,7,2016
bittrex,asmolokalo,268.6800,19,7,2016
bittrex,bacchist,220.1900,19,7,2016
bittrex,enki,799.9900,19,7,2016
bittrex,gavvet,2999.9900,19,7,2016
bittrex,murat,860.5600,19,7,2016
bittrex,theguesswho,883.7800,19,7,2016
bittrex,tinfoilfedora,700.9800,19,7,2016
bittrex,tmendieta,359.6300,19,7,2016
blackmask,poloniex,148.9300,19,7,2016
blocktrades,poloniex,12877.8140,19,7,2016
brianphobos,poloniex,209.6360,19,7,2016
cass,poloniex,1718.4560,19,7,2016
chitty,poloniex,341.2500,19,7,2016
chriscrypto,bittrex,807.0000,19,7,2016
corina,bittrex,20.0000,19,7,2016
cryptorune,poloniex,6400.2460,19,7,2016
dan-atstarlite,bittrex,725.0000,19,7,2016
danny-g,bittrex,4.6350,19,7,2016
dea-anjas-fahma,bittrex,10.3630,19,7,2016
dedriss,bittrex,20.8680,19,7,2016
easteagle13,poloniex,0.3480,19,7,2016
eggturtle,poloniex,82.5210,19,7,2016
eliteturbo,poloniex,4.0120,19,7,2016
enki,bittrex,800.0000,19,7,2016
enki,poloniex,1500.0000,19,7,2016
fabio,poloniex,44.0000,19,7,2016
farinspace,poloniex,253.5490,19,7,2016
francoisstrydom,poloniex,11.1150,19,7,2016
furion,poloniex,60.9750,19,7,2016
geronimo,poloniex,0.9940,19,7,2016
getssidetracked,poloniex,19.9370,19,7,2016
infovore,bittrex,55.0000,19,7,2016
infus1on,poloniex,53.5560,19,7,2016
jholdsworthy,poloniex,7.9320,19,7,2016
jonno-katz,poloniex,0.0800,19,7,2016
knoopx,bittrex,20.0100,19,7,2016
knoopx,poloniex,19.6360,19,7,2016
lenar79,bittrex,17.0000,19,7,2016
lightnovelist,bittrex,15.0000,19,7,2016
marta-zaidel,bittrex,39.9690,19,7,2016
moksha,bittrex,0.0010,19,7,2016
morley,bittrex,3.4220,19,7,2016
murat,bittrex,2263.6580,19,7,2016
nirvana,poloniex,2845.0000,19,7,2016
paparlianko,poloniex,6.3850,19,7,2016
pfunk3,poloniex,2592.1630,19,7,2016
ph111p,poloniex,231.2450,19,7,2016
pheonike,poloniex,326.7100,19,7,2016
poloniex,enki,1399.9800,19,7,2016
poloniex,vvinam,675.0450,19,7,2016
positive,bittrex,472.4940,19,7,2016
qkyrie,bittrex,27.5990,19,7,2016
r4fken,poloniex,140.4070,19,7,2016
rainman,poloniex,472.8620,19,7,2016
rdwn,bittrex,0.4230,19,7,2016
sean0010,bittrex,15.3850,19,7,2016
sharker,poloniex,99.2780,19,7,2016
smooth-a,bittrex,15000.0000,19,7,2016
steempty,poloniex,1803.4410,19,7,2016
steemychicken1,bittrex,75.0000,19,7,2016
surf4life,bittrex,1.2470,19,7,2016
syadastinasti,bittrex,1000.0000,19,7,2016
tatianachebrova,poloniex,0.6150,19,7,2016
tinfoilfedora,bittrex,1368.0000,19,7,2016
tmendieta,bittrex,359.6460,19,7,2016
tuck-fheman,poloniex,550.0000,19,7,2016
tuesday,poloniex,282.5000,19,7,2016
usefree,bittrex,46.8970,19,7,2016
venuspcs,poloniex,105.3740,19,7,2016
vladon,bittrex,4.0580,19,7,2016
vvinam,poloniex,2275.9240,19,7,2016
wisehammer,bittrex,11.2100,19,7,2016
zelgald1,poloniex,215.6680,19,7,2016
aaseb,poloniex,7.5140,19,7,2016
acassity,poloniex,3.5470,19,7,2016
aurel,poloniex,140.0790,19,7,2016
b2o,poloniex,4904.8400,19,7,2016
bitcoinci,poloniex,297.2650,19,7,2016
bittrex,sigmajin,1249.9800,19,7,2016
bittrex,silentpower,1399.9900,19,7,2016
bittrex,weenfan,343.7000,19,7,2016
blockchainbilly,poloniex,10.0000,19,7,2016
cataluca,poloniex,841.5980,19,7,2016
chris-bates,bittrex,76.2290,19,7,2016
clayop,poloniex,165.0400,19,7,2016
crypt0,bittrex,5.1210,19,7,2016
cryptoclub,poloniex,29.5930,19,7,2016
danielson187,poloniex,28.3790,19,7,2016
densmirnov,poloniex,1138.4700,19,7,2016
derekareith,bittrex,162.6170,19,7,2016
edy,poloniex,10.5600,19,7,2016
fabiux,poloniex,527.7680,19,7,2016
federicopistono,poloniex,2236.8900,19,7,2016
girlsntech,poloniex,10.0000,19,7,2016
heri90,bittrex,1.2560,19,7,2016
ibai,poloniex,87.7420,19,7,2016
ikamili,bittrex,1.6070,19,7,2016
imadeyoureadthis,poloniex,119.6970,19,7,2016
jamie,poloniex,701.3700,19,7,2016
juanitalee,poloniex,1.3620,19,7,2016
jupiter00000,poloniex,55.7090,19,7,2016
ledzeppelin,poloniex,2930.0000,19,7,2016
lehard,bittrex,530.0000,19,7,2016
lurker1,poloniex,9.0000,19,7,2016
m4ever,poloniex,136.2100,19,7,2016
mctiller,bittrex,700.0000,19,7,2016
mookosoo,bittrex,0.0660,19,7,2016
moon32walker,poloniex,4.0000,19,7,2016
morning,bittrex,15.2430,19,7,2016
mrrobot,bittrex,0.9950,19,7,2016
myexec,poloniex,430.3270,19,7,2016
niliano,poloniex,1753.8970,19,7,2016
noganoo,bittrex,37.4730,19,7,2016
olinalukasti,bittrex,1.1740,19,7,2016
poloniex,bitcoinci,156.4350,19,7,2016
poloniex,blockchainbilly,26.6630,19,7,2016
poloniex,deedee,248.0000,19,7,2016
poloniex,poloniex,0.0500,19,7,2016
poloniex,willidungl,4366.7510,19,7,2016
porsche,poloniex,3079.5700,19,7,2016
richard013,openledger,14.9110,19,7,2016
robi-rusmana,bittrex,1.7590,19,7,2016
scrawl,poloniex,1725.6470,19,7,2016
simba,bittrex,91.6350,19,7,2016
sirsmokalot,poloniex,27.5340,19,7,2016
steemit-nation,bittrex,1100.0000,19,7,2016
thecryptodrive,bittrex,250.0000,19,7,2016
thursday,poloniex,282.5000,19,7,2016
vidale,poloniex,2689.0000,19,7,2016
wednesday,poloniex,282.5000,19,7,2016
willidungl,poloniex,1.8640,19,7,2016
anon,bittrex,255.2110,19,7,2016
anwenbaumeister,bittrex,100.0000,19,7,2016
anwen-meditates,bittrex,2500.0000,19,7,2016
arcaneinfo,bittrex,26.0030,19,7,2016
biophil,bittrex,1958.3270,19,7,2016
bitacer,poloniex,37.7960,19,7,2016
bittrex,poloniex,67089.8400,19,7,2016
bonapartist,poloniex,1115.0000,19,7,2016
business,poloniex,103.5320,19,7,2016
c082832,bittrex,0.7600,19,7,2016
chhaylin,poloniex,2961.0000,19,7,2016
coar,bittrex,109.7900,19,7,2016
crypto.owl,poloniex,317.0000,19,7,2016
cryptoiskey,bittrex,9.0000,19,7,2016
cryptoiskey,poloniex,10.3890,19,7,2016
drinkzya,poloniex,175.3480,19,7,2016
freeflowbc,poloniex,5.0000,19,7,2016
friday,poloniex,282.5000,19,7,2016
hisnameisolllie,bittrex,442.1440,19,7,2016
itzel-becerra,bittrex,100.0000,19,7,2016
jl777,poloniex,5000.0000,19,7,2016
joseph,poloniex,109.8510,19,7,2016
jupiter00000,blocktrades,1.0000,19,7,2016
kapets123,bittrex,1.0000,19,7,2016
les-peters,bittrex,10.0000,19,7,2016
lofegs,poloniex,332.0810,19,7,2016
marriedbear,bittrex,6.0000,19,7,2016
mdk,bittrex,5.2110,19,7,2016
mercedes,poloniex,2686.9500,19,7,2016
mynewsteemit,poloniex,0.2130,19,7,2016
nanzo-scoop,poloniex,1.0000,19,7,2016
neil-haran,bittrex,292.6570,19,7,2016
nelu.ceban,poloniex,0.4270,19,7,2016
ninzacode,poloniex,914.0530,19,7,2016
pairmike,poloniex,144.2630,19,7,2016
pharesim,poloniex,850.0000,19,7,2016
piedpiper,bittrex,3086.2040,19,7,2016
poloniex,bittrex,7538.0790,19,7,2016
poloniex,forshame,1045.0000,19,7,2016
poloniex,litrbooh,21.1760,19,7,2016
poloniex,lofegs,173.9710,19,7,2016
poloniex,qumatru,249.3550,19,7,2016
poloniex,razvanelulmarin,1.8290,19,7,2016
poloniex,rockymtnbarkeep,11.7250,19,7,2016
psylains,poloniex,2600.0000,19,7,2016
razvanelulmarin,poloniex,1.8390,19,7,2016
roelandp,bittrex,500.0000,19,7,2016
shawn-brewer,bittrex,6715.2180,19,7,2016
shawn-brewer,poloniex,1852.6440,19,7,2016
shutkin70,poloniex,706.9700,19,7,2016
silentpower,poloniex,1414.3600,19,7,2016
smooth,bittrex,25000.0000,19,7,2016
spiz0r,bittrex,7.9000,19,7,2016
spiz0r,poloniex,2.2400,19,7,2016
steemitpolitics,bittrex,15.6650,19,7,2016
stijn,bittrex,13.0590,19,7,2016
thisischris225,poloniex,188.4880,19,7,2016
