Date,Average
5/21/2018,2.27
5/20/2018,2.285
5/19/2018,2.28
5/18/2018,2.26
5/17/2018,2.31
5/16/2018,2.45
5/15/2018,2.565
5/14/2018,2.625
5/13/2018,2.475
5/12/2018,2.36
5/11/2018,2.43
5/10/2018,2.76
5/9/2018,2.95
5/8/2018,3.06
5/7/2018,3.185
5/6/2018,3.345
5/5/2018,3.45
5/4/2018,3.445
5/3/2018,3.475
5/2/2018,3.425
5/1/2018,3.285
4/30/2018,3.43
4/29/2018,3.605
4/28/2018,3.585
4/27/2018,3.585
4/26/2018,3.605
4/25/2018,3.63
4/24/2018,3.415
4/23/2018,3.26
4/22/2018,3.245
4/21/2018,3.35
4/20/2018,3.34
4/19/2018,3.02
4/18/2018,2.92
4/17/2018,2.575
4/16/2018,2.505
4/15/2018,2.435
4/14/2018,2.385
4/13/2018,2.415
4/12/2018,2.185
4/11/2018,1.965
4/10/2018,1.955
4/9/2018,2.005
4/8/2018,2.025
4/7/2018,1.94
4/6/2018,1.99
4/5/2018,2.315
4/4/2018,2.485
4/3/2018,2.1
4/2/2018,1.585
4/1/2018,1.515
3/31/2018,1.58
3/30/2018,1.61
3/29/2018,1.73
3/28/2018,1.75
3/27/2018,1.785
3/26/2018,1.935
3/25/2018,2.025
3/24/2018,2.015
3/23/2018,2.11
3/22/2018,2.245
3/21/2018,2.28
3/20/2018,2.25
3/19/2018,2.045
3/18/2018,1.91
3/17/2018,2.07
3/16/2018,2.27
3/15/2018,2.455
3/14/2018,2.64
3/13/2018,2.66
3/12/2018,2.595
3/11/2018,2.52
3/10/2018,2.525
3/9/2018,2.64
3/8/2018,2.805
3/7/2018,3.19
3/6/2018,3.57
3/5/2018,3.66
3/4/2018,3.67
3/3/2018,3.645
3/2/2018,3.65
3/1/2018,3.715
2/28/2018,3.78
2/27/2018,4.015
2/26/2018,4.045
2/25/2018,4.065
2/24/2018,4.26
2/23/2018,4.29
2/22/2018,4.48
2/21/2018,4.99
2/20/2018,5.405
2/19/2018,5.47
2/18/2018,5.58
2/17/2018,5.72
2/16/2018,5.77
2/15/2018,5.82
2/14/2018,5.31
2/13/2018,5.18
2/12/2018,4.795
2/11/2018,4.83
2/10/2018,4.535
2/9/2018,3.71
2/8/2018,3.275
2/7/2018,3.145
2/6/2018,3.07
2/5/2018,3.14
2/4/2018,3.665
2/3/2018,4.09
2/2/2018,4.2
2/1/2018,4.81
1/31/2018,5.23
1/30/2018,5.98
1/29/2018,7.11
1/28/2018,7.14
1/27/2018,6.985
1/26/2018,6.96
1/25/2018,7.315
1/24/2018,7.165
1/23/2018,6.775
1/22/2018,7.755
1/21/2018,8.265
1/20/2018,6.3
1/19/2018,4.835
1/18/2018,4.1
1/17/2018,4.03
1/16/2018,5.16
1/15/2018,6.74
1/14/2018,6.37
1/13/2018,6.54
1/12/2018,6.09
1/11/2018,6.24
1/10/2018,7.455
1/9/2018,7.83
1/8/2018,8.065
1/7/2018,8.31
1/6/2018,7.82
1/5/2018,8.21
1/4/2018,9.595
1/3/2018,10.08
1/2/2018,9.49
1/1/2018,8.05
12/31/2017,7.37
12/30/2017,8.08
12/29/2017,8.185
12/28/2017,8.44
12/27/2017,9.215
12/26/2017,9.735
12/25/2017,9.78
12/24/2017,10.19
12/23/2017,9.28
12/22/2017,11.205
12/21/2017,13.355
12/20/2017,13.65
12/19/2017,13.505
12/18/2017,12.275
12/17/2017,11.22
12/16/2017,10.84
12/15/2017,10.405
12/14/2017,7.89
12/13/2017,5.485
12/12/2017,6.08
12/11/2017,6.88
12/10/2017,6.325
12/9/2017,6.7
12/8/2017,6.88
12/7/2017,4.51
12/6/2017,2.82
12/5/2017,2.535
12/4/2017,2.33
12/3/2017,2.32
